Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
64352;2755;0.788424548;109.1698994;0.106543929;89.57753256;7.51437911;64.5728214;3.148797024;0.001192209;1083.20925;0.336253691;117862;1525;0.962578812;108.2364387;0.636860015;76.25157458;47.56732295;71.25233039;3.350713026;0.000660055;537.799249;0.34081116;0.40531076;1.728356336;0.608225703;0.545994468;1.806557377;3
55760;2484;0.826551637;99.12209727;0.113561062;94.37478513;11.43523102;60.70814425;3.019824673;0.001454665;837.7882713;0.375634637;76670;1291;0.938352895;80.70830312;0.57807321;37.69055109;20.99910616;32.93328864;3.237091064;0.000924315;513.4914505;0.370895832;0.479235424;1.807860262;0.441440761;0.727272727;1.924089853;3
58107;1692;0.795289062;114.8174403;0.255057207;107.0423552;6.706271662;72.89722805;3.092770653;0.001388701;632.4531319;0.361674398;101721;1563;0.953399005;116.2256058;0.523241918;86.93327865;57.57645573;78.71527828;3.362969581;0.000697781;584.6463373;0.347586678;0.467274613;1.198300283;0.545668364;0.571238977;1.082533589;3
47508;1968;0.888166012;109.3002836;0.154143929;118.2435542;9.908874051;76.0575244;3.038340078;0.001582209;943.0944297;0.365111944;69650;1294;0.937100572;101.9788747;0.522711954;59.14490669;34.86902928;50.82697027;3.328516689;0.000757863;739.4503729;0.364115525;0.542235919;1.662162162;0.783233345;0.682096195;1.520865533;3
66936;3747;0.806467548;113.6645395;0.059910402;111.5580648;13.51801682;75.88443747;3.12753074;0.001120775;1219.527587;0.342366502;98186;1253;0.969393598;99.44245325;0.785881906;55.14937906;30.01153489;48.67937273;3.354098029;0.000705769;600.7720006;0.327581768;0.493039289;2.542062415;0.437820792;0.681726519;2.990422985;3
70287;3172;0.762166558;111.7353245;0.087784636;97.18182602;11.31782917;67.28820009;3.156530736;0.001019072;1028.344959;0.345086815;108202;1876;0.886596418;97.43577434;0.386348726;53.67872888;31.75817694;48.95856731;3.374818412;0.000608414;588.8113922;0.353744959;0.432780405;1.967741935;0.312833339;0.649590581;1.690831557;3
55154;2373;0.876044347;108.1372556;0.123081109;97.99563963;8.816683152;63.92532146;3.081115518;0.001318823;862.531244;0.367295918;92504;1431;0.960661322;106.1762973;0.567663681;70.44934059;40.09973623;62.83390208;3.302114529;0.000762046;543.6518349;0.364431488;0.454615892;1.702295552;0.558516204;0.596233676;1.658280922;3
44509;808;0.953573571;97.33933539;0.856712255;76.36667613;2.756357663;44.38821091;2.875742222;0.002491754;441.2673305;0.3457671;86981;1818;0.910366843;105.2968122;0.330709372;79.98605055;51.04390378;68.51570818;3.252764036;0.000898773;1277.755102;0.344545018;0.382784214;0.592375367;0.805390656;0.511709454;0.444444444;3
58400;2388;0.824451189;110.1450977;0.128692746;106.2452326;8.004750831;72.03120432;3.080367864;0.001376554;1025.771223;0.340876164;87093;1109;0.947363269;99.47215365;0.889877082;55.69998339;32.21189369;49.69369601;3.346023643;0.000706803;552.3121647;0.341441395;0.485049834;1.720461095;0.830720663;0.670547576;2.153291253;3
29424;610;0.959467832;112.9803061;0.993692257;103.220054;4.053309737;52.82209389;2.863868446;0.002852909;436.4289182;0.377177744;34330;1394;0.831154368;77.0886258;0.22200263;28.12720442;20.79270678;26.92208458;3.199970584;0.001533654;2273.208687;0.3425252;0.456780924;0.600393701;0.771969259;0.857092922;0.43758967;3
65905;2115;0.805094063;112.3732046;0.18514308;119.7427476;10.77052269;78.23929604;3.187670519;0.001076805;1011.730389;0.334084204;87922;1258;0.96341263;90.86331166;0.698145817;43.61372348;24.82535003;39.43597927;3.396843432;0.000662823;556.6699914;0.335298957;0.535238606;1.504267425;0.644151509;0.749584859;1.681240064;3
45546;1528;0.915295111;80.98887643;0.245139557;54.27035321;3.407023155;36.77654529;2.994468405;0.001879186;626.6352347;0.324228881;91759;1555;0.896005234;93.87409517;0.476867527;63.44464037;44.26986796;59.24635036;3.362775286;0.000688538;855.0329397;0.330891822;0.311285164;0.996088657;0.26957199;0.496365479;0.982636656;3
39125;717;0.941840591;88.9987513;0.956369909;63.09688513;3.476158213;38.05583095;2.944106515;0.001987213;294.4487285;0.351731853;51243;1725;0.82648667;66.72415441;0.216404463;23.33357061;17.53551397;21.59896914;3.289112244;0.001021153;1546.235901;0.338198586;0.33554313;0.52489019;0.911040723;0.76351892;0.415652174;3
57439;1761;0.918392146;82.52552141;0.232754466;53.03303978;3.777589342;38.41435606;3.06043714;0.001440536;656.3159866;0.334359835;119177;1836;0.914986564;96.71693889;0.4442802;65.67257514;45.41734946;60.65436444;3.340781305;0.000664405;634.531708;0.345966785;0.293409411;0.994915254;0.792197347;0.481963802;0.959150327;3
44481;1047;0.927827955;86.6046755;0.509907081;59.90801826;3.9703379;41.25983562;3.03790172;0.001589494;439.8024069;0.331683153;89296;1303;0.958337805;99.92421615;0.660926306;69.42081461;49.56051872;64.16582283;3.376628095;0.000660421;847.1616514;0.334202292;0.324975342;0.707432432;0.291223675;0.498129815;0.803530315;3
41846;985;0.927027027;75.3973559;0.5419901;52.72648655;4.821802803;40.36128645;3.196553489;0.001078655;276.7206516;0.219397445;78010;2045;0.83294183;82.08667275;0.234408587;51.49342728;37.94176083;48.14071771;3.417053366;0.000607006;919.6396692;0.279235858;0.330182426;0.691713483;0.435878217;0.536418408;0.481662592;3
