Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
22220;850;0.726951515;82.83176666;0.386470249;2.925934967;0.002254241;405.7831729;0.329367858;54382;1388;0.880936953;105.1889352;0.354720352;3.244187575;0.001089643;1427.426345;0.332705391;0.283421982;0.758928571;0.47169745;0.408591078;0.612391931;4
31857;834;0.824349851;77.12224401;0.575549443;2.998084569;0.001983032;465.7030156;0.343049599;85096;1328;0.926235129;101.001709;0.606349272;3.290638104;0.000827613;751.1907559;0.34576847;0.244767656;0.577562327;0.718891978;0.374365423;0.628012048;4
28907;1220;0.740066564;78.54266205;0.2440581;3.051193069;0.001594642;449.4652217;0.33936491;62456;2317;0.815203488;94.93511827;0.146194813;3.390143247;0.000596838;806.0193579;0.365667964;0.25923933;0.913173653;0.547915637;0.462837838;0.526542943;4
26626;1089;0.689132179;76.47528521;0.282136992;2.997070913;0.001856224;388.3854309;0.332629366;73127;2079;0.850353505;102.1347769;0.21260753;3.280311422;0.0008993;1519.004929;0.331714394;0.237942467;0.812686567;0.502614617;0.364106281;0.523809524;4
34900;1806;0.908522934;81.61915365;0.134462072;3.034977012;0.00143127;554.6222947;0.331818205;76551;1563;0.906723047;90.23623986;0.393770137;3.3053601;0.00075029;610.8294191;0.345644528;0.299442299;1.322108346;0.588100076;0.455905214;1.15547025;4
24100;1109;0.837649022;80.38916525;0.246242955;2.9629829;0.002259858;472.8769318;0.337173538;44299;2774;0.740785953;94.19354383;0.07234206;3.327387434;0.000811627;1593.088194;0.354019974;0.263491647;0.916528926;0.242438927;0.544030339;0.399783706;4
36941;1718;0.773714525;82.78689267;0.157279526;3.137211998;0.001310274;576.406784;0.323212791;68172;2025;0.826467522;92.05451992;0.208913182;3.490282718;0.000487933;1007.629505;0.332806375;0.33246634;1.287856072;0.446093708;0.541879364;0.848395062;4
24633;531;0.980652096;86.91333411;1.09783767;2.82820234;0.002929748;283.4169287;0.375991515;31222;999;0.919592366;63.47953538;0.393133096;3.198858934;0.001488293;1072.415404;0.358838796;0.406619346;0.538539554;0.85383749;0.788962911;0.531531532;4
23461;995;0.73762812;76.9183935;0.297790077;3.013189911;0.001890635;440.737217;0.350236161;71071;1413;0.920859301;104.8505789;0.44731964;3.311494987;0.000848924;872.5892089;0.344254111;0.247134791;0.806320908;0.341375321;0.330106513;0.704175513;4
24214;644;0.890679026;72.07285903;0.733676599;2.924914746;0.002419737;365.4747544;0.364934437;75448;1872;0.883011095;105.1511994;0.270548984;3.212124513;0.001120159;1817.580533;0.355287339;0.205252094;0.468704512;0.3943187;0.320936274;0.344017094;4
27510;573;0.98306175;90.32179789;1.052909903;2.852333573;0.002551398;263.6124121;0.331129586;36558;1494;0.845506268;69.07180077;0.20582167;3.220763055;0.001288337;1621.890767;0.332397681;0.37986744;0.531539889;0.698558211;0.752502872;0.383534137;4
28375;571;0.976327289;90.19164379;1.093637813;2.935012065;0.002047419;230.2536771;0.338088785;32487;1044;0.923319596;56.08235387;0.374557481;3.180945546;0.001447173;838.3227975;0.324438013;0.544604814;0.624726477;0.754772961;0.873426294;0.546934866;4
49931;1825;0.787232365;91.5095683;0.188388501;3.124175544;0.001141208;560.1622101;0.30686044;99766;2057;0.906164564;99.3900622;0.296294671;3.402486261;0.000573226;906.774481;0.321875783;0.361026153;1.226478495;0.576472223;0.500481126;0.88721439;4
28786;559;0.988156946;91.11188254;1.157624126;2.844101847;0.002562417;243.247688;0.332896794;33701;685;0.971798495;56.6879619;0.902550495;3.137748139;0.001704687;586.8064653;0.319780559;0.511332954;0.588421053;0.950588405;0.85415863;0.816058394;4
23161;1151;0.744032895;77.21511904;0.219693154;3.037927513;0.001994173;517.4219078;0.341656894;40076;1941;0.724256334;94.28120984;0.133672836;3.328584809;0.000747718;898.0466067;0.356215113;0.309713567;1.052102377;0.745778501;0.577926939;0.592993302;4
29731;576;0.985547121;85.23937404;1.126093403;2.827906429;0.002752428;247.2027569;0.39411175;34695;1455;0.880784951;60.1677124;0.205944771;3.156615011;0.001570472;1103.455774;0.37117358;0.458995893;0.563600783;0.748032093;0.856924629;0.395876289;4
26162;1475;0.795076736;82.63389314;0.151111238;3.019489251;0.002073363;740.7555172;0.347139267;53878;1154;0.933987449;98.07378298;0.508404882;3.344184709;0.000751162;619.6180086;0.353050653;0.321926489;1.289335664;0.717545986;0.485578529;1.278162912;4
24417;926;0.850085297;76.26856269;0.357832839;2.964852314;0.002126047;432.307429;0.362608483;50795;1290;0.830187137;97.28445118;0.383575984;3.303821703;0.000747517;782.9051387;0.360120992;0.296466731;0.806620209;0.405684561;0.480696919;0.717829457;4
33902;2718;0.671925478;81.22518172;0.057668184;3.102757082;0.001402429;1112.277141;0.328128204;62179;1192;0.932722309;88.33211214;0.54992199;3.398076011;0.000628766;656.5399897;0.329678833;0.285478506;1.963872832;0.725120604;0.545232313;2.280201342;4
23381;898;0.8525433;71.76490856;0.364351257;2.9371284;0.00238868;415.0940722;0.370348917;62553;1758;0.878097056;101.2620441;0.254343279;3.250256667;0.00105353;1344.178587;0.350046584;0.212732467;0.669150522;0.268671781;0.373779035;0.510807736;4
29814;1273;0.76776885;81.37158582;0.231192267;3.094065192;0.00154839;546.5703299;0.358417356;66669;2107;0.894705764;100.5726638;0.188714267;3.357717161;0.000679097;851.669787;0.364730246;0.324072262;1.041734861;0.280233145;0.447194348;0.604176554;4
30673;1459;0.69545403;83.40345755;0.181073766;3.08995656;0.001652838;685.2627444;0.313765639;70728;1279;0.934467815;101.2962587;0.54332558;3.357146533;0.000719578;694.3841305;0.349748617;0.293128823;1.127511592;0.807864487;0.433675489;1.140734949;4
41417;857;0.954220809;83.84766541;0.70864195;2.98835012;0.001569266;277.6543709;0.329735659;75110;2917;0.82905615;87.9246958;0.110926361;3.320662855;0.000736154;1710.319125;0.336684592;0.293862637;0.569057105;0.884255111;0.55141792;0.293794995;4
26475;1066;0.765970374;76.24626742;0.29277327;3.0076395;0.001988192;616.1023578;0.327202969;72430;1430;0.904662578;102.2549917;0.445098647;3.342290741;0.000707138;759.3234028;0.344803151;0.229961434;0.78267254;0.470470995;0.365525335;0.745454545;4
23146;859;0.849987147;75.49397289;0.394184447;2.982759041;0.00213385;407.5808862;0.333444931;66653;1266;0.881466885;104.4348358;0.522591274;3.307991298;0.000844394;876.3435226;0.330190019;0.226055024;0.67109375;0.478247464;0.347261189;0.678515008;4
30755;645;0.975853535;82.10974344;0.928979576;2.915328275;0.002006292;251.4739593;0.315340951;33408;1313;0.909556221;43.83561755;0.243517899;3.154117904;0.001492663;974.0670545;0.295672959;0.420437457;0.596118299;0.383604884;0.920587883;0.491241432;4
29898;691;0.968952554;82.31020913;0.786857171;2.893349405;0.002326284;322.9809084;0.336254206;45592;1498;0.771908438;74.21329239;0.255314148;3.264452193;0.001050686;1234.205262;0.349003633;0.288501621;0.529096478;0.74494499;0.655772943;0.461281709;4
30905;1581;0.698449647;78.61082089;0.155372757;3.06617681;0.001694833;619.7207108;0.335665131;76458;1607;0.921769323;100.2416623;0.372049773;3.335634948;0.000763421;868.3034346;0.342410171;0.254466859;1.134146341;0.382259876;0.404208847;0.983820784;4
