Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
36611;17760;0.202796;90.908653;0.001459;1.244367;0.471757;994.536682;0.780217;110600;18435;0.299276;101.025993;0.00409;2.079713;0.140766;2214.976074;0.602629;0.293828;12.577904;0.201688;0.331022;0.963385;1
25472;2271;0.319715;91.738663;0.062064;1.623675;0.297411;237.698395;0.7118;36947;3048;0.319266;81.66304;0.049976;0.854351;0.616469;791.062317;0.860224;0.447962;2.380503;0.708927;0.68942;0.745079;2
32921;2526;0.316408;82.637161;0.064836;1.361333;0.419784;161.144501;0.771173;75219;12105;0.27274;97.424133;0.006451;1.701949;0.289335;1314.616943;0.722542;0.347653;2.050325;0.407021;0.437669;0.208674;2
24044;2181;0.317224;94.791206;0.063519;1.500477;0.331987;244.883591;0.735244;38237;5577;0.297233;91.408684;0.015449;1.013412;0.54179;1336.805664;0.836791;0.417786;2.271875;0.693955;0.628815;0.39107;2
17617;1482;0.322957;96.88961;0.100796;1.614723;0.294582;260.727264;0.709419;25466;2979;0.312324;86.772217;0.03606;0.884248;0.61305;1293.455444;0.852099;0.450298;1.871212;0.681501;0.691785;0.497482;2
29552;2586;0.322983;94.156685;0.055532;1.561861;0.30048;216.793152;0.720417;47556;6516;0.29224;94.091782;0.014075;1.067802;0.507038;1188.614014;0.833676;0.446176;2.51068;0.763839;0.621415;0.396869;2
28875;2487;0.317751;95.583191;0.058665;1.677521;0.268323;232.59639;0.69891;45923;3141;0.320445;95.028015;0.058493;1.107355;0.499402;870.963745;0.824292;0.47592;2.522312;0.568453;0.62877;0.791786;2
33988;3999;0.293521;92.546974;0.026707;1.132746;0.485215;258.250275;0.808873;79062;18879;0.264697;106.243958;0.002788;1.448577;0.337084;2255.050293;0.766642;0.298496;2.962222;0.563607;0.42989;0.211823;2
30555;2694;0.3197;95.02282;0.052905;1.732839;0.259979;262.141815;0.696095;46612;4071;0.316211;91.887665;0.035343;1.016045;0.535875;1052.983643;0.840001;0.484078;2.677933;0.511658;0.655518;0.661754;2
30177;1743;0.328253;95.031517;0.124822;1.653718;0.286149;165.082901;0.709193;51460;6426;0.307292;100.215698;0.01566;1.165665;0.436329;1196.909058;0.821029;0.460718;1.702148;0.823445;0.586417;0.271242;2
