Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
29623;3252;0.228118;99.676483;0.0352;60.050133;3.152843;27.898903;1.02657;0.528434;115.629829;0.843774;34926;18903;0.184729;78.909264;0.001228;29.705561;23.109632;28.541641;0.655539;0.720662;1427.017334;0.887471;0.268689;2.445113;0.904759;0.848165;0.172036;5
27672;2484;0.272762;93.540794;0.056357;52.125465;2.492465;28.704113;0.902995;0.574279;88.466621;0.867172;34925;12126;0.243636;64.938782;0.002985;18.636059;14.982623;17.823381;0.400948;0.823498;1024.021973;0.935847;0.239108;1.823789;0.345793;0.792326;0.204849;5
26396;2142;0.267015;74.990891;0.072295;38.451477;2.330199;20.480017;0.788007;0.620968;44.133232;0.884715;27344;6393;0.240836;37.481937;0.008407;6.869817;5.224048;6.397984;0.200682;0.923764;296.133789;0.967685;0.209492;1.506329;0.480985;0.965331;0.335054;5
24219;2685;0.255507;68.826035;0.042216;33.527542;2.113553;14.793097;0.720639;0.64693;47.94273;0.899651;25099;12117;0.197683;49.996269;0.002148;13.082846;10.520204;12.572373;0.350973;0.853267;535.632385;0.942654;0.192722;1.893512;0.452661;0.964939;0.22159;5
27335;2700;0.278551;74.00589;0.04712;38.977566;2.315867;20.040144;0.814362;0.606589;50.871696;0.887431;28282;6834;0.252196;38.280411;0.00761;7.500144;5.45834;6.944895;0.230316;0.912638;294.315491;0.961453;0.21824;1.90678;0.583328;0.966516;0.395083;5
22953;2637;0.225102;75.136871;0.041479;39.629234;4.428101;17.396423;0.856874;0.605076;59.831379;0.866705;23552;9954;0.200313;59.555893;0.002987;18.810455;15.182934;17.92132;0.448336;0.805471;567.580322;0.931366;0.218612;2.031587;0.52705;0.974567;0.264919;5
24093;1794;0.304262;73.606369;0.094071;38.589111;3.231639;21.502457;0.854951;0.609557;47.870998;0.869126;27930;5205;0.268726;44.630043;0.012955;9.701975;7.520179;9.294372;0.258404;0.896858;346.246521;0.959806;0.216843;1.326923;0.321752;0.862621;0.344669;5
24011;2694;0.221487;67.293808;0.041574;33.426029;3.729937;16.695602;0.808718;0.635984;58.438103;0.874425;28286;10674;0.21566;55.170357;0.00312;15.944892;13.017263;15.756483;0.39578;0.827205;529.029114;0.939864;0.199185;1.93813;0.389969;0.848865;0.252389;5
21712;2562;0.290073;69.52359;0.041567;35.21373;4.37536;18.997442;0.844725;0.625615;61.339638;0.866206;22015;4326;0.264225;32.675114;0.014783;5.109687;3.738949;5.221695;0.160923;0.939434;195.42395;0.973991;0.205606;1.970769;0.184612;0.986237;0.592233;5
24187;2790;0.258086;72.517097;0.039047;38.295071;3.640559;21.775127;0.87679;0.603792;64.754959;0.865228;31656;8118;0.238798;53.692802;0.006036;14.861411;11.483751;14.233914;0.389879;0.838788;606.236267;0.937074;0.219562;2.100904;0.551091;0.764057;0.343681;5
